CAAQ01	Salmonella	enterica	SUBSP. ENTERICA SEROVAR TYPHI STR. 404TY		More than 1 contig per expected gene	
CAAY01	Salmonella	enterica	SUBSP. ENTERICA SEROVAR TYPHI STR. AG3		More than 1 contig per expected gene	
CBWF01	Klebsiella	pneumoniae			IS22  Too many proteins	
CCBJ01	Salmonella	enterica	SUBSP. ENTERICA SEROVAR MANHATTAN	ENA SAMEA3158455	40 times bigger than a normal Salmonella	
CCCD01	Escherichia	coli			Fragmented and genome much larger than expected	
CCCH01	Escherichia	coli			Fragmented and genome much larger than expected	
CCCJ01	Escherichia	coli			Fragmented and genome much larger than expected	
CCCK01	Escherichia	coli			Fragmented and genome much larger than expected	
CDQN01	Escherichia	coli			Fragmented and genome much larger than expected	
CDQS01	Escherichia	coli			Fragmented and genome much larger than expected	
CDQW01	Escherichia	coli			Fragmented and genome much larger than expected	
CDRO01	Escherichia	coli			Fragmented and genome much larger than expected	
CFDG01	Streptococcus	pneumoniae	 		Too small	
CFDO01	Streptococcus	pneumoniae	 		Too small	
CFEQ01	Streptococcus	pneumoniae	 		Too big	
CFFF01	Streptococcus	pneumoniae	 		Too big	
CFFU01	Streptococcus	pneumoniae	 		Too small	
CFFY01	Streptococcus	pneumoniae	 		Too big	
CFYS01	Staphylococcus	aureus			Too many contigs	
CGWL01	Streptococcus	pneumoniae	 		Too big	
CGXO01	Streptococcus	pneumoniae	 		Too big	
CHHQ01	Streptococcus	pneumoniae	 		Too small	
CHIQ01	Streptococcus	pneumoniae	 		Too small	
CHOP01	Streptococcus	pneumoniae	 		Too small	
CHRW01	Streptococcus	pneumoniae	 		Too big	
CHTU01	Streptococcus	pneumoniae	 		Too big	
CHVB01	Streptococcus	pneumoniae	 		Too big	
CHVD01	Streptococcus	pneumoniae	 		Too big	
CHXN01	Streptococcus	pneumoniae	 		Too Fragmented	
CIDG01	Streptococcus	pneumoniae	 		Too big	
CIDK01	Streptococcus	pneumoniae	 		Too big	
CIIO01	Streptococcus	pneumoniae	 		Too big	
CP002797	Escherichia	coli	UPEC ST131		See PubMed 24706808 for discussion on the quality of this genome	
CP006958	Achromobacter	xylosoxidans	NBRC15126 ATCC27061	NCBI PRJNA209573	Illumina adapter contamination	NA
CVKS01	Streptococcus	pneumoniae	 		Too small	
CVLS01	Streptococcus	pneumoniae	 		Too big	
CVNZ01	Chlamydia	trachomatis			More than 1 contig per expected gene	NA
CVOF01	Streptococcus	pneumoniae	 		Too big	
CFAX01	Streptococcus	pneumoniae			Too fragmented	
CFGZ01	Streptococcus	pneumoniae			Too fragmented	
CFYQ01	Bordetella	pertussis			Too fragmented	
CFZH01	Bordetella	pertussis			Too fragmented	
CGCX01	Mycobacterium	tuberculosis			Too fragmented	
CGDO01	Mycobacterium	tuberculosis			Too fragmented	
CGFZ01	Bordetella	pertussis			Too fragmented	
CGWE01	Streptococcus	pneumoniae			Too fragmented	
CHCS01	Streptococcus	pneumoniae			Too fragmented	
CHCU01	Streptococcus	pneumoniae			Too fragmented	
CHDS01	Mycobacterium	tuberculosis			Too fragmented	
CHED01	Mycobacterium	tuberculosis			Too fragmented	
CHEE01	Mycobacterium	tuberculosis			Too fragmented	
CHKU01	Bordetella	pertussis			Too fragmented	
CHKZ01	Bordetella	pertussis			Too fragmented	
CHQU01	Streptococcus	pneumoniae			Too fragmented	
